항목,범위,값,구분,재현여부
5입력 누출 검증RMSE,학습13-16→검증17-18,1.51e-12 kPa (≈0),[계산],재현
5입력 PT-1004/PT-1100 계수,5입력 OLS,+1.00000/-1.00000(≈+1/−1),[계산],재현
z 학습 vs 사용 차이,B/P=5 feed-side vs .simx,0.72973 vs 0.715766 → 0.0782 kPa,[계산]/[.simx],재현
스크리닝 PT 입력 포함,F1/F2/F2sq/물리군/GBR/RF,없음(누출 원천 차단),[계산],재현
nunique 10/12,T/FRC,"T=1, FRC=1",[계산],재현
nunique 10/13,T/FRC,"T=329, FRC=56",[계산],재현
nunique 10/14,T/FRC,"T=108, FRC=2",[계산],재현
nunique 10/15,T/FRC,"T=379, FRC=264",[계산],재현
nunique 10/16,T/FRC,"T=470, FRC=3",[계산],재현
nunique 10/17-18,T/FRC,"T=451, FRC=48",[계산],재현
반응기입구총유량 단일태그,원본 CSV FT-*,없음 → FT-1003+FT-1004 유일,[계산],재현
ΔP 음수 개수,전체 3066,0,[계산],재현
ΔP 10/12제외 평균,2585행,27.4503 kPa,[계산],재현
ΔP 라벨 상수 25kPa,HX-1005 튜브측 0.25bar,25.0 kPa,[주어짐],재현
반응기입구압=PT-1004−25,PFD Fig.1 배관손실 0 가정,가정,[가정],재현
검증 10/17-18 ΔP 평균/범위,661행,"23.73 [19.89,29.22]",[계산],재현
학습 ΔP 범위(결합),10/13-16,"[19.89,31.48]",[계산],재현
10/12 ΔP std,481행,0.0000 (단일점 앵커 29.22),[계산],재현
총유량 (a)vs(b) 최대차,3066,1.7811 kg/h = 0.01019%(÷평균)/0.01156%(행별),[계산],재현
FT-1002=FT-1003,3066,최대차 0.0,[계산],재현
총유량(c) FT-1001+1300+1004,3066,vs(a) 9.52% (탱크홀드업) 사용금지,[계산],재현
런타임 R-1100_in.W=HX-1005_Tube_Out.W,.simx 단일점,5.0 kg/s(18000 kg/h) 동일스트림,[.simx],재현
FT-1003=T-1001_out(재순환 합류 후),.simx 단일점,T-1001_out.W=15000 kg/h(z[CUMENE]=0.0059 포함),[.simx],재현
총유량 학습/런타임 정의 일치,.simx+데이터,FT-1003(15000)+FT-1004(3000)=R-1100_in.W(18000) → 일치,[계산]/[.simx],재현
정의 불일치는 z(몰분율)뿐,.simx,총유량은 질량계기가 재순환 포함 → 일치; z만 0.078 kPa 흔들림,[계산],재현
"corr(ΔP,총유량) 10/12제외",2585,+0.9867,[계산],재현
"MW=42.182+35.933·z, corr(z,MW)",2585,"재현, +1.000000",[계산],재현
ΔP/P_in 등압,2585,1.098% (≈1.1%),[계산],재현
물리군2모수 검증RMSE P상수/누출,13-16→17-18,0.5727 / 0.1723(PT-1004),[계산],재현
순수Ergun형(절편無) 검증RMSE,누출 P,2.552 kPa (선형대비 ~16배),[계산],재현
F2 선형 검증RMSE,13-16→17-18,0.1910 kPa,[계산],재현
F2 선형 계수,학습13-16,−52.4758/+0.090009·T/+0.00311055·Ftot/−1.00735·FRC,[계산],재현
F2sq(+총유량²) 검증RMSE,13-16→17-18,0.2026 (악화),[계산],재현
F1(프로펜유량) 물리 B/P↓,27점격자,0/9 실패 (곱 표현불가),[계산],재현
GBR/RF 검증RMSE,13-16→17-18,0.4507 / 0.6730 (선형보다 나쁨),[계산],재현
RF 물리 B/P↓,27점격자,3/9 실패,[계산],재현
트리 외삽 clamp T=365,Ftot16500·BP5,GBR·RF 350→365 +0.000(clamp),[계산],재현
선형/물리군 외삽,Ftot16500·BP5,350→365 +1.350/+0.624(추세연장),[계산],재현
물리 27점 F2선형,"T{335,350,365}","F↑9/9·BP↓9/9 범위[18.29,32.34]",[계산],재현
sklearn/numpy/seed,환경,1.9.0 / 2.5.1 / random_state=42,[계산],재현
