model,family,best_params_block20,params_value,params_kind,block20_rmse_RANK,loco5_mean,loco5_worst,loco4_score,holdout_at_loco4_params,train_rmse,valid_rmse_CONFIRM,jackknife60_ci_low,jackknife60_ci_high,jackknife60_se,jackknife120_ci_low,jackknife120_ci_high,bootstrap60_ci_low,bootstrap60_ci_high,mae,mape_pct,r2,max_abs_err,cumene_rmse_kgh,cumene_pct_of_mean,sens_max_pred_shift,phys_in_range,phys_T_monotone_slices,phys_extrap_ok,onnx_convertible,onnx_max_abs_diff,onnx_fail_reason,tune_time_s,fit_time_s,infer_us_per_row
Ridge Poly2,선형,"{""alpha"": 0.01}",10,계수+절편,0.007409,0.103342,0.464587,0.062683,0.020568,0.006198,0.019293,0.012056,0.027317,0.003893,0.012103,0.027022,0.012757,0.025344,0.012592,1.8204,0.98555,0.1169,142.994,2.8038,0.371903,27/27,9/9,True,True,2.805e-06,,0.016,0.0022,0.762
Poly 2차,선형,{},10,계수+절편,0.007465,0.157297,0.487202,0.191344,0.021109,0.005931,0.021109,0.015325,0.027342,0.003066,0.013523,0.029483,0.016496,0.026536,0.015891,2.3479,0.9827,0.08404,158.36,3.1051,0.376592,27/27,9/9,True,True,3.375e-06,,0.004,0.0022,0.774
ElasticNet,선형,"{""alpha"": 0.01, ""l1"": 0.5}",4,계수+절편,0.00817,0.031816,0.062175,0.030605,0.033362,0.012601,0.029249,0.019305,0.040167,0.005322,0.018906,0.04079,0.020394,0.04035,0.021857,3.7566,0.96679,0.15491,215.844,4.2323,0.067337,27/27,9/9,True,True,6.185e-07,,0.019,0.0017,0.535
Lasso,선형,"{""alpha"": 0.01}",4,계수+절편,0.008225,0.035326,0.056716,0.035068,0.036358,0.014366,0.036358,0.024027,0.049893,0.006599,0.0217,0.052974,0.025139,0.050514,0.027648,4.8606,0.94868,0.16935,267.874,5.2525,0.048436,27/27,9/9,True,True,6.306e-07,,0.009,0.0013,0.483
Ridge 1차,선형,"{""alpha"": 10.0}",4,계수+절편,0.008287,0.057232,0.174853,0.06596,0.022322,0.011657,0.022322,0.014263,0.031223,0.004326,0.01537,0.029939,0.014965,0.03073,0.015967,2.5799,0.98066,0.13751,165.278,3.2408,0.084789,27/27,9/9,True,True,6.22e-07,,0.012,0.0014,0.483
Linear 1차,선형,{},4,계수+절편,0.008368,0.059768,0.195612,0.069463,0.020987,0.011693,0.020987,0.013161,0.02966,0.004209,0.014238,0.028384,0.01373,0.029012,0.014628,2.3065,0.9829,0.13325,155.571,3.0504,0.093691,27/27,9/9,True,True,1.959e-06,,0.002,0.0006,0.194
PLS,선형,"{""n"": 3}",4,계수+절편,0.008368,0.059768,0.195612,0.043758,0.082061,0.011693,0.020987,0.013161,0.02966,0.004209,0.014238,0.028384,0.01373,0.029012,0.014628,2.3065,0.9829,0.13325,155.571,3.0504,0.093691,27/27,9/9,True,True,6.476e-07,,0.005,0.001,0.23
SVR(linear),거리·커널,"{""C"": 10.0}",4,계수+절편,0.00855,0.041954,0.13416,0.045005,0.023592,0.011567,0.023528,0.016283,0.031407,0.003858,0.015927,0.031855,0.016244,0.031026,0.017106,2.5804,0.97851,0.1297,174.062,3.413,0.063848,27/27,9/9,True,True,0.001719,,6.525,7.1738,12.657
"MLP(64, 64)",신경망,"{""alpha"": 0.0001}",4481,가중치+편향,0.008882,0.092174,0.323251,0.100169,0.041496,0.006162,0.051706,0.032869,0.072528,0.010117,0.026387,0.080891,0.03502,0.068624,0.039188,6.1227,0.89621,0.1851,388.203,7.6119,0.189274,27/27,9/9,True,True,8.176e-07,,0.876,0.1723,1.151
"MLP(128, 128)",신경망,"{""alpha"": 0.1}",17153,가중치+편향,0.009081,0.087492,0.309508,0.059486,0.058681,0.005756,0.036797,0.020764,0.054897,0.008708,0.014496,0.063474,0.023589,0.049985,0.026079,4.0329,0.94744,0.15747,276.825,5.428,0.21166,27/27,9/9,True,True,7.059e-07,,2.181,1.4245,1.85
Poly 3차,선형,{},20,계수+절편,0.009787,0.21931,0.457392,0.179854,0.377137,0.005558,0.377137,0.216021,0.558578,0.087387,0.165823,0.629124,0.228185,0.526532,0.238885,37.1666,-4.52147,0.70379,2865.433,56.1854,0.619917,27/27,6/9,True,True,0.0001063,,0.004,0.0031,0.906
SVR(RBF),거리·커널,"{""C"": 1.0, ""g"": 0.1}",1048,서포트벡터 수,0.010429,0.062884,0.127143,0.063922,0.058733,0.006136,0.058733,0.024977,0.0985,0.018756,0.001283,0.13734,0.020787,0.087697,0.035868,4.4279,0.86609,0.17591,430.475,8.4408,0.107605,27/27,0/9,True,True,1.65e-05,,1.847,0.0851,74.36
ExtraTrees,트리,"{""n"": 300, ""d"": null, ""l"": 5}",87640,총 트리 노드수,0.011421,0.068108,0.110826,0.065442,0.078771,0.003739,0.078771,0.057637,0.101498,0.011189,0.05317,0.106879,0.057439,0.09913,0.063388,9.2936,0.75913,0.20076,584.014,11.4514,0.133149,27/27,0/9,True,True,7.844e-08,,1.77,0.3144,125.621
RandomForest,트리,"{""n"": 300, ""d"": null, ""l"": 1}",671618,총 트리 노드수,0.012545,0.072198,0.107006,0.063799,0.0988,0.001612,0.099703,0.073643,0.127667,0.013782,0.067876,0.134358,0.074964,0.123852,0.080954,12.185,0.6141,0.25826,745.21,14.6121,0.173999,27/27,0/9,True,True,1.04e-07,,2.613,0.4284,126.479
DecisionTree,트리,"{""d"": null, ""l"": 1}",3509,트리 노드수,0.012784,0.078908,0.117493,0.069691,0.095934,0.000375,0.100515,0.073637,0.129403,0.014226,0.066129,0.138105,0.074923,0.124414,0.08087,12.1643,0.60779,0.25978,750.889,14.7234,0.192218,27/27,0/9,True,True,8.521e-08,,0.03,0.0046,0.274
