model,valid_rmse,jack_delta,jack_ci_low,jack_ci_high,jack_indistinguishable,boot_ci_low,boot_ci_high,boot_indistinguishable
Ridge Poly2,0.019293,0.0,0.0,0.0,True,0.0,0.0,True
Poly 2차,0.021109,0.001817,-0.00621,0.009504,True,-0.003774,0.010518,True
ElasticNet,0.029249,0.009957,0.001919,0.018179,False,0.00312,0.018355,False
Lasso,0.036358,0.017066,0.005573,0.028974,False,0.007285,0.028882,False
Ridge 1차,0.022322,0.003029,-0.001294,0.007407,True,-0.000662,0.007795,True
Linear 1차,0.020987,0.001694,-0.002059,0.005507,True,-0.001654,0.005875,True
PLS,0.020987,0.001694,-0.002059,0.005507,True,-0.001654,0.005875,True
SVR(linear),0.023528,0.004235,-0.00094,0.009257,True,0.000364,0.009685,False
"MLP(64, 64)",0.051706,0.032413,0.016473,0.049551,False,0.017673,0.047661,False
"MLP(128, 128)",0.036797,0.017504,0.005048,0.03124,False,0.006423,0.029394,False
Poly 3차,0.377137,0.357845,0.197459,0.537766,False,0.207825,0.508892,False
SVR(RBF),0.058733,0.039441,0.006288,0.077816,False,0.004436,0.068227,False
ExtraTrees,0.078771,0.059478,0.040439,0.079323,False,0.042764,0.07753,False
RandomForest,0.099703,0.080411,0.05679,0.105147,False,0.058378,0.102063,False
DecisionTree,0.100515,0.081222,0.056911,0.106756,False,0.05856,0.103268,False
KNN,0.078939,0.059646,0.033396,0.087667,False,0.041288,0.082952,False
HistGradientBoosting,0.093709,0.074417,0.052546,0.09717,False,0.056121,0.094628,False
GradientBoosting,0.079404,0.060111,0.037356,0.084252,False,0.04168,0.082197,False
"MLP(16,)",0.045274,0.025982,-0.000854,0.056758,True,0.006763,0.048185,False
AdaBoost,0.108102,0.088809,0.055986,0.123864,False,0.063846,0.118767,False
Dummy(mean),0.185369,0.166076,0.106269,0.230745,False,0.114635,0.222919,False
GaussianProcess,0.163973,0.14468,0.07183,0.226627,False,0.080698,0.210913,False
