model,rank_LOCO4_전,loco4_score,rank_block20_후,block20_rmse,rank_valid_확인,valid_rmse
Ridge Poly2,8,0.062683,1,0.007409,1,0.019293
Linear 1차,14,0.069463,6,0.008368,2,0.020987
PLS,3,0.043758,7,0.008368,3,0.020987
Poly 2차,22,0.191344,2,0.007465,4,0.021109
Ridge 1차,13,0.06596,5,0.008287,5,0.022322
SVR(linear),4,0.045005,8,0.00855,6,0.023528
ElasticNet,1,0.030605,3,0.00817,7,0.029249
Lasso,2,0.035068,4,0.008225,8,0.036358
"MLP(128, 128)",5,0.059486,10,0.009081,9,0.036797
"MLP(16,)",18,0.098081,19,0.023552,10,0.045274
"MLP(64, 64)",19,0.100169,9,0.008882,11,0.051706
SVR(RBF),11,0.063922,12,0.010429,12,0.058733
ExtraTrees,12,0.065442,13,0.011421,13,0.078771
KNN,6,0.05998,16,0.013005,14,0.078939
GradientBoosting,9,0.063776,18,0.014831,15,0.079404
HistGradientBoosting,7,0.061293,17,0.013346,16,0.093709
RandomForest,10,0.063799,14,0.012545,17,0.099703
DecisionTree,15,0.069691,15,0.012784,18,0.100515
AdaBoost,16,0.075562,20,0.030456,19,0.108102
GaussianProcess,20,0.114872,22,0.074897,20,0.163973
Dummy(mean),17,0.095996,21,0.067684,21,0.185369
Poly 3차,21,0.179854,11,0.009787,22,0.377137
