model,transform,transform_key,block20_rmse_RANK,valid_rmse_CONFIRM,jack60_ci_low,jack60_ci_high,jack120_ci_low,jack120_ci_high,boot60_ci_low,boot60_ci_high,mae,mape_pct,r2,max_abs_err,cumene_pct_of_mean,loco5_mean,loco5_worst,sens_max_pred_shift,phys_in_range,phys_out_of_range,phys_T_monotone_slices,phys_extrap_ok,structurally_bounded,onnx_convertible,onnx_max_abs_diff,onnx_fail_reason,best_params
Ridge Poly2,raw,raw,0.009532,0.047049,0.019754,0.07926,0.004338,0.104122,0.021899,0.069946,0.028762,3.8736,0.91407,0.13251,6.768,0.063315,0.23442,0.035419,18,9,9/9,False,False,True,9.09e-07,,"{""alpha"": 0.1}"
Ridge Poly2,logit,logit,0.007409,0.019293,0.012056,0.027317,0.012103,0.027022,0.012757,0.025344,0.012592,1.8204,0.98555,0.1169,2.8038,0.103342,0.464587,0.371903,27,0,9/9,True,True,True,2.8e-06,,"{""alpha"": 0.01}"
Ridge Poly2,log,log,0.008011,0.023069,0.017615,0.028879,0.017419,0.029112,0.018566,0.028935,0.018483,2.9241,0.97934,0.1183,3.3662,0.096536,0.394773,0.191504,21,6,9/9,False,False,True,4.51e-06,,"{""alpha"": 0.01}"
Ridge Poly2,log(1-y),log1m,0.007429,0.019167,0.012841,0.026092,0.014098,0.024456,0.012294,0.025827,0.012533,2.0239,0.98574,0.10316,2.7928,196636615899637.8,983183079498189.0,5524.819895,27,0,9/9,True,False,True,1.07e-05,,"{""alpha"": 0.001}"
Ridge Poly2,arcsin√y,arcsin,0.008458,0.024727,0.014367,0.036366,0.009706,0.042645,0.015114,0.033774,0.015621,2.1843,0.97626,0.11891,3.5719,0.064481,0.265787,0.375335,27,0,8/9,True,True,True,1.82e-06,,"{""alpha"": 0.01}"
Poly 2차,raw,raw,0.010059,0.058892,0.028293,0.094326,0.011745,0.119454,0.032586,0.085172,0.039593,5.0573,0.86536,0.14746,8.5064,3.198985,15.308287,4.177824,18,9,9/9,False,False,True,1.87e-06,,{}
Poly 2차,logit,logit,0.007465,0.021109,0.015325,0.027342,0.013523,0.029483,0.016496,0.026536,0.015891,2.3479,0.9827,0.08404,3.1051,0.157297,0.487202,0.376592,27,0,9/9,True,True,True,3.37e-06,,{}
Poly 2차,log,log,0.008759,0.046331,0.03169,0.062294,0.027443,0.067851,0.034063,0.05955,0.034806,4.7712,0.91667,0.0871,6.7949,0.525248,2.06665,20.777146,21,6,8/9,False,False,True,7.12e-06,,{}
Poly 2차,log(1-y),log1m,0.007284,0.015931,0.011483,0.020731,0.011044,0.021117,0.012177,0.020127,0.010611,1.5762,0.99015,0.099,2.326,1.07894,5.102788,2.646957,27,0,9/9,True,False,True,1.09e-05,,{}
Poly 2차,arcsin√y,arcsin,0.008607,0.029824,0.021152,0.039213,0.01833,0.042771,0.023177,0.03755,0.022726,3.1588,0.96547,0.08387,4.3632,0.110255,0.339267,0.443692,27,0,9/9,True,True,True,2.33e-06,,{}
ElasticNet,raw,raw,0.009274,0.036081,0.016866,0.058422,0.007409,0.072855,0.019175,0.052447,0.024094,3.4057,0.94946,0.12371,5.1931,0.035517,0.070118,0.078557,18,9,9/9,False,False,True,6.29e-07,,"{""alpha"": 0.001, ""l1"": 0.2}"
ElasticNet,logit,logit,0.00817,0.029249,0.019305,0.040167,0.018906,0.04079,0.020394,0.04035,0.021857,3.7566,0.96679,0.15491,4.2323,0.031816,0.062175,0.067337,27,0,9/9,True,True,True,6.19e-07,,"{""alpha"": 0.01, ""l1"": 0.5}"
ElasticNet,log,log,0.013133,0.148967,0.049793,0.269273,-0.027359,0.414183,0.024854,0.229539,0.074334,8.691,0.13854,0.38684,21.3527,0.056428,0.148967,0.125036,17,10,9/9,False,False,True,1.38e-06,,"{""alpha"": 0.001, ""l1"": 0.2}"
ElasticNet,log(1-y),log1m,0.0155,0.057309,0.038935,0.077369,0.033496,0.084485,0.040946,0.077715,0.045045,7.8217,0.8725,0.20337,8.2364,0.046956,0.071978,0.044443,27,0,9/9,True,False,True,6.5e-07,,"{""alpha"": 0.01, ""l1"": 0.8}"
ElasticNet,arcsin√y,arcsin,0.008255,0.018974,0.011995,0.026698,0.013258,0.025247,0.012508,0.026873,0.013262,2.2183,0.98602,0.12991,2.7612,0.028256,0.05351,0.073321,27,0,9/9,True,True,True,6.31e-07,,"{""alpha"": 0.001, ""l1"": 0.2}"
