part,model,input_set,output,n_feat,block20,valid_rmse,jack60_ci,cumene_pct,loco5_mean,loco5_worst,sens,phys,onnx,case_specifiable,circular_dep,VIF,press_coef_sign_flip
3A_input,Ridge Poly2,I1,Y1(X→kgh),3,0.007409,0.019293,"[0.01206,0.02732]",2.8038,0.103342,0.464587,0.371903,27/27·9/9,True,True,False,-,-
3A_input,Ridge Poly2,I1b,Y1(X→kgh),3,0.00748,0.016732,"[0.01072,0.02337]",2.4343,0.119321,0.465272,0.369878,27/27·9/9,True,True,False,-,-
3A_input,Ridge Poly2,I1c,Y1(X→kgh),4,0.00775,0.023073,"[0.01733,0.02921]",3.3963,0.123298,0.462336,0.355269,27/27·9/9,True,True,False,-,-
3A_input,Ridge Poly2,I2,Y1(X→kgh),4,0.006714,0.045908,"[0.02930,0.06425]",6.7936,0.144358,0.490845,0.347847,N/A(압력),True,False,True,PT-1004=62.6,PT-1004:10/14+0.00296/10/16-0.00847
3A_input,Ridge Poly2,I3,Y1(X→kgh),4,0.006717,0.045766,"[0.02923,0.06403]",6.7725,0.144181,0.490904,0.347999,N/A(압력),True,False,True,PT-1100=62.3,PT-1100:10/14+0.00304/10/16-0.00863
3A_input,Ridge Poly2,I4,Y1(X→kgh),5,0.006791,0.047879,"[0.03040,0.06721]",7.0863,0.155847,0.491119,0.345933,N/A(압력),True,False,True,PT-1004=62.6;PT-1100=62.3,PT-1004:10/14+0.00296/10/16-0.00847;PT-1100:10/14+0.00304/10/16-0.00863
3A_input,Ridge Poly2,I5,Y1(X→kgh),4,0.006245,0.018729,"[0.01445,0.02328]",2.7423,0.106563,0.451039,0.328857,N/A(압력),True,False,True,PT-1004=62.6;PT-1100=62.3,PT-1004:10/14+0.00296/10/16-0.00847;PT-1100:10/14+0.00304/10/16-0.00863
3A_input,Poly2,I1,Y1(X→kgh),3,0.007465,0.021109,"[0.01532,0.02734]",3.1051,0.157297,0.487202,0.376592,27/27·9/9,True,True,False,-,-
3A_input,Poly2,I1b,Y1(X→kgh),3,0.008457,0.016555,"[0.01013,0.02371]",2.4133,0.156748,0.487584,0.394407,27/27·9/9,True,True,False,-,-
3A_input,Poly2,I1c,Y1(X→kgh),4,0.007054,0.282808,"[0.16484,0.41526]",42.0296,0.201315,0.422907,0.550419,27/27·6/9,True,True,False,-,-
3A_input,Poly2,I2,Y1(X→kgh),4,0.005937,0.214753,"[0.12794,0.31185]",31.8378,0.169112,0.32199,0.49235,N/A(압력),True,False,True,PT-1004=62.6,PT-1004:10/14+0.00296/10/16-0.00847
3A_input,Poly2,I3,Y1(X→kgh),4,0.005926,0.215081,"[0.12812,0.31235]",31.887,0.168736,0.321162,0.492554,N/A(압력),True,False,True,PT-1100=62.3,PT-1100:10/14+0.00304/10/16-0.00863
3A_input,Poly2,I4,Y1(X→kgh),5,0.006387,0.211907,"[0.12584,0.30823]",31.4232,0.169675,0.321168,0.490561,N/A(압력),True,False,True,PT-1004=62.6;PT-1100=62.3,PT-1004:10/14+0.00296/10/16-0.00847;PT-1100:10/14+0.00304/10/16-0.00863
3A_input,Poly2,I5,Y1(X→kgh),4,0.005802,0.230335,"[0.13491,0.33739]",34.172,0.165316,0.307343,0.507606,N/A(압력),True,False,True,PT-1004=62.6;PT-1100=62.3,PT-1004:10/14+0.00296/10/16-0.00847;PT-1100:10/14+0.00304/10/16-0.00863
3B_output,Ridge Poly2,I1,Y1(X→kgh),3,-,-,-,2.8038,-,-,-,-,-,True,False,-,-
3B_output,Ridge Poly2,I1,Y2(몰유량→kgh),3,-,-,-,9.2673,-,-,-,-,-,True,False,-,-
3B_output,Ridge Poly2,I1,Y3(kgh직접),3,-,-,-,9.2673,-,-,-,-,-,True,False,-,-
3B_output,Poly2,I1,Y1(X→kgh),3,-,-,-,3.1051,-,-,-,-,-,True,False,-,-
3B_output,Poly2,I1,Y2(몰유량→kgh),3,-,-,-,8.5015,-,-,-,-,-,True,False,-,-
3B_output,Poly2,I1,Y3(kgh직접),3,-,-,-,8.5015,-,-,-,-,-,True,False,-,-
