model,transform,input,block20,valid_rmse,jack60_ci,jack120_ci,boot60_ci,cumene_pct,loco5_mean,phys,onnx
Linear1,logit,I1,0.008368,0.020987,"[0.01316,0.02966]","[0.01424,0.02838]","[0.01373,0.02901]",3.0504,0.059768,27/27·9/9,True
Linear1,logit,I1b,0.012105,0.022853,"[0.01391,0.03281]","[0.01503,0.03150]","[0.01491,0.03201]",3.3358,0.068183,27/27·9/9,True
Linear1,arcsin,I1,0.008204,0.018034,"[0.01157,0.02516]","[0.01289,0.02364]","[0.01232,0.02534]",2.6292,0.033194,27/27·9/9,True
Linear1,arcsin,I1b,0.011031,0.019786,"[0.01172,0.02882]","[0.01309,0.02722]","[0.01262,0.02859]",2.892,0.039382,27/27·9/9,True
Linear1,log1m,I1,0.017618,0.036736,"[0.02423,0.05047]","[0.01973,0.05624]","[0.02429,0.04892]",5.3136,0.110866,26/27·9/9,True
Linear1,log1m,I1b,0.021197,0.03825,"[0.02599,0.05164]","[0.02304,0.05541]","[0.02585,0.05065]",5.549,0.12893,26/27·9/9,True
Ridge Poly2,logit,I1,0.007409,0.019293,"[0.01206,0.02732]","[0.01210,0.02702]","[0.01276,0.02534]",2.8038,0.103342,27/27·9/9,True
Ridge Poly2,logit,I1b,0.00748,0.016732,"[0.01072,0.02337]","[0.01095,0.02290]","[0.01081,0.02225]",2.4343,0.119321,27/27·9/9,True
Ridge Poly2,arcsin,I1,0.008458,0.024727,"[0.01437,0.03637]","[0.00971,0.04265]","[0.01511,0.03377]",3.5719,0.064481,27/27·8/9,True
Ridge Poly2,arcsin,I1b,0.00871,0.023323,"[0.01358,0.03427]","[0.00896,0.04052]","[0.01430,0.03187]",3.3701,0.073006,27/27·8/9,True
Ridge Poly2,log1m,I1,0.007429,0.019167,"[0.01284,0.02609]","[0.01410,0.02446]","[0.01229,0.02583]",2.7928,196636615899637.8,27/27·9/9,True
Ridge Poly2,log1m,I1b,0.007249,0.018415,"[0.01164,0.02591]","[0.01230,0.02482]","[0.01196,0.02405]",2.6757,7887.085076,27/27·9/9,True
Poly2,logit,I1,0.007465,0.021109,"[0.01532,0.02734]","[0.01352,0.02948]","[0.01650,0.02654]",3.1051,0.157297,27/27·9/9,True
Poly2,logit,I1b,0.008457,0.016555,"[0.01013,0.02371]","[0.01083,0.02276]","[0.01045,0.02281]",2.4133,0.156748,27/27·9/9,True
Poly2,arcsin,I1,0.008607,0.029824,"[0.02115,0.03921]","[0.01833,0.04277]","[0.02318,0.03755]",4.3632,0.110255,27/27·9/9,True
Poly2,arcsin,I1b,0.009551,0.023267,"[0.01389,0.03376]","[0.00928,0.03997]","[0.01518,0.03143]",3.366,0.10386,27/27·8/9,True
Poly2,log1m,I1,0.007284,0.015931,"[0.01148,0.02073]","[0.01104,0.02112]","[0.01218,0.02013]",2.326,1.07894,27/27·9/9,True
Poly2,log1m,I1b,0.008413,0.029037,"[0.01582,0.04405]","[0.01655,0.04327]","[0.01715,0.04300]",4.2727,1.282122,27/27·9/9,True
