model,fset,target,rmse_train,rmse_fixed,loco_mean,loco_max,loco_10/13,loco_10/14,loco_10/15,loco_10/16,loco_10/17-18
Linear1,I1_TFR,raw,0.00949362435981,0.0356469883919295,0.0188640368666623,0.0356469883919295,0.0111230896417706,0.0045639341238315,0.0247285179963744,0.0182576541794057,0.0356469883919295
Linear2,I1_TFR,raw,0.0071052128134345,0.0588919131389007,0.0918500611880399,0.341480103444658,0.0130187888986542,0.006034723569831,0.341480103444658,0.0398247768881555,0.0588919131389007
Ridge2,I1_TFR,raw,0.0071135919794266,0.0560839422668151,0.0872777101832578,0.3236639807067473,0.0130207167026631,0.0060129418588667,0.3236639807067473,0.0376069693811968,0.0560839422668151
KNN,I1_TFR,raw,0.0041483847674505,0.0722933832303006,0.0572588486365426,0.0995243411100709,0.0281046001956824,0.003710555755261,0.0826613628913984,0.0995243411100709,0.0722933832303006
SVR-RBF,I1_TFR,raw,0.0042284265086142,0.4308442268393076,0.1361489049622807,0.4308442268393076,0.0239513676541912,0.0035286981350705,0.1455274429231119,0.0768927892597224,0.4308442268393076
RF,I1_TFR,raw,0.0016354036371404,0.1000514178899898,0.0589046478618318,0.1000514178899897,0.0133610555014395,0.00408841863522,0.0849484000085476,0.0920739472739622,0.1000514178899897
ExtraTrees,I1_TFR,raw,0.0003747681033578,0.0864867917250673,0.0635845013200762,0.1096070389639068,0.0224439642102064,0.0040060028319311,0.1096070389639068,0.0953787088692693,0.0864867917250674
GBR,I1_TFR,raw,0.0045410586781227,0.0950519479573528,0.0616541066460279,0.0959778839998735,0.0162702625528152,0.0110271059030921,0.0959778839998735,0.089943332817006,0.0950519479573528
HistGB,I1_TFR,raw,0.0027696946887391,0.0883994371932529,0.061855863271653,0.0891114680746675,0.0359659326215426,0.0073293935301683,0.0891114680746675,0.088473084938634,0.0883994371932529
MLP-64x64,I1_TFR,raw,0.0163288638270848,0.2978893123595629,0.3002655860484896,1.0839574580713178,0.036220389169494,0.0035509725701526,1.0839574580713178,0.0797097980719205,0.2978893123595629
MLP-16,I1_TFR,raw,0.0401516304746415,0.1539838151794138,0.204980893585749,0.6426917865020462,0.0601695114587208,0.0138190177901328,0.6426917865020462,0.1542403369984314,0.1539838151794138
Linear1,I1_TFR,logit,0.0116933648938045,0.0209870010791682,0.0212716844593784,0.0340719396165046,0.0129427237487425,0.0069217721341753,0.0340719396165046,0.0314349857183014,0.0209870010791682
Linear2,I1_TFR,logit,0.0059312757024415,0.0211094507593717,0.024474275537751,0.0829317411024168,0.0069519104680712,0.0037390483594609,0.0829317411024168,0.0076392269994347,0.0211094507593717
Ridge2,I1_TFR,logit,0.0059385919950268,0.018076145299484,0.0184258259942294,0.0561661925574631,0.0068924980247095,0.0037388900286378,0.0561661925574631,0.0072554040608524,0.018076145299484
KNN,I1_TFR,logit,0.0041542969604615,0.07230200530339,0.0572637149327518,0.0995221202550725,0.0281070726950023,0.003712902673974,0.0826744737363202,0.0995221202550725,0.07230200530339
SVR-RBF,I1_TFR,logit,0.0046736496429975,0.2710796729067851,0.0959077099553313,0.2710796729067851,0.0128438063293324,0.0036743940575871,0.0841913292336057,0.1077493472493461,0.2710796729067851
RF,I1_TFR,logit,0.0016475594666095,0.0996825119651729,0.0594430904659541,0.0996825119651729,0.0135224605413756,0.004141838110733,0.0839413218956384,0.0959273198168505,0.0996825119651729
ExtraTrees,I1_TFR,logit,0.0003747685922353,0.078702274994698,0.0610793618634864,0.1058505254468099,0.0223653222676516,0.0039992045542469,0.1058505254468099,0.0944794820540257,0.078702274994698
GBR,I1_TFR,logit,0.0045896434912662,0.0821954465650605,0.0568506745328868,0.0967345821945041,0.0133145181600165,0.0104800962254366,0.0815287295194164,0.0967345821945041,0.0821954465650605
HistGB,I1_TFR,logit,0.0027757685506942,0.0932545844272039,0.0626982294231686,0.0932545844272039,0.0349298388720696,0.0076514188641556,0.0889250220661424,0.0887302828862716,0.0932545844272039
MLP-64x64,I1_TFR,logit,0.0061617386593963,0.0517060649412106,0.0572286630544362,0.1983889573616156,0.0095108503061738,0.003490101314777,0.1983889573616156,0.0230473413484037,0.0517060649412106
MLP-16,I1_TFR,logit,0.0128276770099333,0.0450342194092401,0.0575144751117866,0.1804104299857062,0.0159280572236068,0.00456345507952,0.1804104299857062,0.0416362138608598,0.0450342194092401
Linear1,I2_+PT1004,raw,0.0081357249746785,0.0346953448287734,0.0175504158776991,0.0346953448287734,0.0108976144619032,0.0022077810671294,0.0223753366013585,0.0175760024293308,0.0346953448287734
Linear2,I2_+PT1004,raw,0.0053152747509747,0.2452672138669919,0.1420560790164957,0.4052546347687447,0.0119701731062535,0.0067635896375896,0.4052546347687447,0.0410247837028987,0.2452672138669919
Ridge2,I2_+PT1004,raw,0.0061058767900796,0.0726709022965661,0.0664657997351907,0.2028173702006389,0.0127833051800315,0.0060487617407814,0.2028173702006389,0.0380086592579356,0.0726709022965661
KNN,I2_+PT1004,raw,0.0031436285431993,0.1417232685336878,0.0729575420224603,0.1417232685336878,0.0426051305039763,0.0022161124581524,0.0757837982162823,0.1024594004002028,0.1417232685336878
SVR-RBF,I2_+PT1004,raw,0.0030558999517955,0.2656235048244733,0.1019477476845199,0.2656235048244733,0.0833473051336067,0.0032467003342462,0.0989932773539472,0.0585279507763263,0.2656235048244733
RF,I2_+PT1004,raw,0.0013392732384193,0.09708386295222,0.0590673018774225,0.0981592861211138,0.0284344401530469,0.0041348967276854,0.0675240234330461,0.0981592861211138,0.09708386295222
ExtraTrees,I2_+PT1004,raw,5.444806141845254e-07,0.0855511230911051,0.0526529187579157,0.0944996892151557,0.0195092037053156,0.0042684494913776,0.0594361282866248,0.0944996892151557,0.0855511230911051
GBR,I2_+PT1004,raw,0.003641130721667,0.089358166549753,0.0580786694943191,0.0937180322518285,0.0140204190331649,0.0303032595609277,0.0629934700759215,0.0937180322518285,0.089358166549753
HistGB,I2_+PT1004,raw,0.002266541023568,0.0834244530060355,0.0545473919066986,0.0893926533160267,0.0263827189257733,0.0077061125396629,0.0658310217459948,0.0893926533160267,0.0834244530060355
MLP-64x64,I2_+PT1004,raw,0.0089998981898012,0.2736642844377374,0.2046707582298032,0.6165220722244498,0.0679092524035615,0.0020242778742729,0.6165220722244498,0.0632339042089944,0.2736642844377374
MLP-16,I2_+PT1004,raw,0.0419553101951392,0.41941517559682,0.3459605635448271,0.8338939676446406,0.1498090209456901,0.0084613596945666,0.8338939676446406,0.318223293842418,0.41941517559682
Linear1,I2_+PT1004,logit,0.0113167779667698,0.021100673032903,0.0320330031258538,0.0853115669006694,0.014428735819391,0.0079812223467592,0.0853115669006694,0.0313428175295461,0.021100673032903
Linear2,I2_+PT1004,logit,0.0047300943810418,0.2147534642474705,0.094525385522961,0.2304923697734707,0.0069813277130439,0.0048058127474534,0.2304923697734707,0.0155939531333666,0.2147534642474705
Ridge2,I2_+PT1004,logit,0.0052048693438515,0.0606621673909403,0.0351748326859296,0.0970207399106719,0.0067825484680015,0.0025748722789517,0.0970207399106719,0.0088338353810827,0.0606621673909403
KNN,I2_+PT1004,logit,0.003145083201395,0.1417013209070861,0.0729598223096356,0.1417013209070861,0.0426229542407769,0.0022205624887917,0.075800437151715,0.1024538367598082,0.1417013209070861
SVR-RBF,I2_+PT1004,logit,0.0035966184586448,0.232983044633339,0.0905938452956034,0.232983044633339,0.0399063518942418,0.0030735262599454,0.090143127578839,0.0868631761116515,0.232983044633339
RF,I2_+PT1004,logit,0.0013493198287437,0.0965700751763559,0.0608552350505534,0.1023717145778284,0.0298467130213624,0.0066607194169772,0.068826953060243,0.1023717145778284,0.0965700751763559
ExtraTrees,I2_+PT1004,logit,5.44480614184779e-07,0.0731498736556283,0.0515705533146867,0.0957389857138996,0.0194496714861096,0.0040257550227918,0.0654884806950045,0.0957389857138996,0.0731498736556283
GBR,I2_+PT1004,logit,0.0036812357494654,0.0772137666039085,0.0556624282781676,0.100703837601795,0.0121156459256596,0.0259230637497375,0.0623558275097375,0.100703837601795,0.0772137666039085
HistGB,I2_+PT1004,logit,0.0023125376699428,0.0922491010469966,0.0584584852362655,0.093884345076639,0.0250025589896546,0.0082642414216436,0.0728921796463937,0.093884345076639,0.0922491010469966
MLP-64x64,I2_+PT1004,logit,0.0054042517014526,0.0213617389805292,0.0472025266576743,0.1658735668545758,0.0165357596661905,0.0019231588974091,0.1658735668545758,0.0303184088896671,0.0213617389805292
MLP-16,I2_+PT1004,logit,0.0094113117306882,0.0387075570699066,0.0676746104898865,0.1984020635443124,0.0244327065140109,0.0059791793486601,0.1984020635443124,0.0708515459725427,0.0387075570699066
Linear1,I3_+PT1100,raw,0.0081479613892186,0.0346999364210677,0.0173270446518491,0.0346999364210677,0.0108966612386265,0.0022221021029804,0.0212270555826246,0.0175894679139462,0.0346999364210677
Linear2,I3_+PT1100,raw,0.0053049221719935,0.244851237170605,0.1456324622319844,0.4230338519546364,0.0120233936486827,0.007025038701846,0.4230338519546364,0.0412287896841518,0.244851237170605
Ridge2,I3_+PT1100,raw,0.0060906455739223,0.0724308128153788,0.0667289441223767,0.2041549877727516,0.0128115634346068,0.0060984791143774,0.2041549877727516,0.0381488774747692,0.0724308128153788
KNN,I3_+PT1100,raw,0.0031369659385341,0.1420530971847573,0.073022462225368,0.1420530971847573,0.0426179244718568,0.0022044120458041,0.0757974643114027,0.102439413113019,0.1420530971847573
SVR-RBF,I3_+PT1100,raw,0.0030589039391847,0.2653100307021324,0.1019374559040984,0.2653100307021324,0.0829171278404005,0.0031943769145885,0.099154032366682,0.0591117116966888,0.2653100307021324
RF,I3_+PT1100,raw,0.0013877182269051,0.0972312212757325,0.0587412581324514,0.0972312212757325,0.0287026933886829,0.0048972996890714,0.0673097870019005,0.0955652893068695,0.0972312212757325
ExtraTrees,I3_+PT1100,raw,3.697241758292632e-07,0.0850566294302244,0.053439697004044,0.0952151042471565,0.0191709664144059,0.0040300219658817,0.0637257629625516,0.0952151042471565,0.0850566294302244
GBR,I3_+PT1100,raw,0.0036739708710465,0.0895630940335383,0.0590572530491644,0.0980430328579641,0.0150281978986595,0.029509839480349,0.0631421009753112,0.0980430328579641,0.0895630940335383
HistGB,I3_+PT1100,raw,0.0023484502018996,0.0824946278903172,0.054150417448956,0.0896879970123688,0.0263768740525123,0.0062888968359594,0.0659036914536222,0.0896879970123688,0.0824946278903172
MLP-64x64,I3_+PT1100,raw,0.0088910701686873,0.2728187673075992,0.2043314055334196,0.6159127346299176,0.0683919573967837,0.0019999761487368,0.6159127346299176,0.0625335921840605,0.2728187673075992
MLP-16,I3_+PT1100,raw,0.0419054336528985,0.41865122773594,0.3452422935491714,0.831218888837251,0.1497386009465843,0.0085081506360452,0.831218888837251,0.3180945995900365,0.41865122773594
Linear1,I3_+PT1100,logit,0.0113264547262943,0.0211062686707381,0.0320542515689885,0.0854621756380881,0.014396379859449,0.0079518412923536,0.0854621756380881,0.0313545923843136,0.0211062686707381
Linear2,I3_+PT1100,logit,0.0047321652476074,0.2150809339454718,0.0945463106333266,0.2299633750121981,0.007004177931088,0.0048643860191811,0.2299633750121981,0.0158186802586939,0.2150809339454718
Ridge2,I3_+PT1100,logit,0.0052026689101965,0.0605613281535984,0.0345243230634281,0.0937123597684965,0.0067989803917225,0.0026093369800562,0.0937123597684965,0.0089396100232672,0.0605613281535984
KNN,I3_+PT1100,logit,0.0031384144116076,0.142031151076694,0.0730247414593467,0.142031151076694,0.0426357437222208,0.002208884215109,0.0758140757913142,0.1024338524913955,0.142031151076694
SVR-RBF,I3_+PT1100,logit,0.0035997512446838,0.2329795672326308,0.090361635466225,0.2329795672326308,0.0395966767967782,0.0030827501183744,0.0897867987074963,0.0863623844758453,0.2329795672326308
RF,I3_+PT1100,logit,0.0013886166592914,0.0964848256026296,0.060963549168309,0.1031451790231955,0.0300389788686083,0.0062666934289472,0.0688820689181646,0.1031451790231955,0.0964848256026296
ExtraTrees,I3_+PT1100,logit,3.697241758295051e-07,0.0720992553778614,0.0509431199696031,0.0957407376052751,0.0195733516657167,0.0039826453124966,0.0633196098866659,0.0957407376052751,0.0720992553778614
GBR,I3_+PT1100,logit,0.003712745925273,0.077038442479751,0.0542188045211443,0.0966999101970633,0.0134887945540403,0.0222251263735912,0.0616417490012757,0.0966999101970633,0.077038442479751
HistGB,I3_+PT1100,logit,0.0023357351711754,0.0892947966347393,0.0571698501531019,0.0935102714740702,0.0249837898051272,0.0066956129812701,0.0713647798703027,0.0935102714740702,0.0892947966347393
MLP-64x64,I3_+PT1100,logit,0.0053916687291741,0.0213694422756723,0.0477740394996425,0.1654571561130596,0.016517734362778,0.0020774804302744,0.1654571561130596,0.0334483843164283,0.0213694422756723
MLP-16,I3_+PT1100,logit,0.009410062748607,0.0385629372382307,0.0675963524486717,0.1983080636312069,0.0244368972253446,0.0059880877924945,0.1983080636312069,0.070685776356082,0.0385629372382307
Linear1,I4_+양쪽압력,raw,0.0069753433155724,0.0348596537378481,0.0292578298918158,0.0718113194489033,0.0110354659258456,0.0031524273373255,0.0718113194489033,0.0254302830091564,0.0348596537378481
Linear2,I4_+양쪽압력,raw,0.0047925148124441,0.2623382744883029,0.150353636016779,0.4335479239410851,0.0096300512298613,0.0059193374128531,0.4335479239410851,0.0403325930117926,0.2623382744883029
Ridge2,I4_+양쪽압력,raw,0.0060082022712567,0.0795001985269552,0.0643109761023784,0.1851249845931,0.012694514664012,0.0060963409760927,0.1851249845931,0.0381388417517319,0.0795001985269552
KNN,I4_+양쪽압력,raw,0.0030340696156864,0.1521977000947363,0.0765686278080884,0.1521977000947363,0.0554465824078408,0.002618281364291,0.068315649366294,0.1042649258072801,0.1521977000947363
SVR-RBF,I4_+양쪽압력,raw,0.0032445532045513,0.264615575229658,0.0965575262676455,0.264615575229658,0.06707378194529,0.0031138221723021,0.0979751063883916,0.0500093456025857,0.264615575229658
RF,I4_+양쪽압력,raw,0.0013437441252193,0.0960316927412727,0.0588896950487931,0.0976865968570959,0.0285650758267376,0.0044143469794919,0.0677507628393674,0.0976865968570959,0.0960316927412727
ExtraTrees,I4_+양쪽압력,raw,3.343332547954536e-07,0.0861744162974733,0.0521019772092617,0.0941554570210407,0.0224931984856355,0.003983898751977,0.053702915490182,0.0941554570210407,0.0861744162974733
GBR,I4_+양쪽압력,raw,0.003650777193118,0.0843163356008236,0.0570334872711908,0.0944671333807051,0.0148365919520097,0.0298100218502738,0.0617373535721415,0.0944671333807051,0.0843163356008236
HistGB,I4_+양쪽압력,raw,0.0022953939225074,0.0824514671871429,0.0546160927969413,0.0903206497272915,0.0261632644499525,0.0071016403042894,0.0670434423160301,0.0903206497272915,0.0824514671871429
MLP-64x64,I4_+양쪽압력,raw,0.0067178211845546,0.2183511121400287,0.1572821438991819,0.5056480464489602,0.0166353021339235,0.0047248279062071,0.5056480464489602,0.04105143086679,0.2183511121400287
MLP-16,I4_+양쪽압력,raw,0.0568744202924443,0.2787081058232026,0.336374696054374,1.2406373136062443,0.0726340419864527,0.0052985788637902,1.2406373136062443,0.0845954399921794,0.2787081058232026
Linear1,I4_+양쪽압력,logit,0.0066479354111575,0.0174691187440624,0.0194097264111614,0.0467202862169942,0.0107108124383918,0.0014139033073532,0.0467202862169942,0.0207345113490056,0.0174691187440624
Linear2,I4_+양쪽압력,logit,0.0045696310261059,0.2252875565553618,0.1061930604097543,0.2360803343629267,0.0101747474003349,0.0050342673530721,0.2360803343629267,0.0543883963770758,0.2252875565553618
Ridge2,I4_+양쪽압력,logit,0.005140501720771,0.0690222264071878,0.0399882746196828,0.1122117418447661,0.0067909693875294,0.0024694278789656,0.1122117418447661,0.0094470075799651,0.0690222264071878
KNN,I4_+양쪽압력,logit,0.0030339353758162,0.1521769194093546,0.0765679843559033,0.1521769194093546,0.0554501518938668,0.0026210251570434,0.0683355638948048,0.1042562614244467,0.1521769194093546
SVR-RBF,I4_+양쪽압력,logit,0.0038000352247505,0.2249913869976096,0.0883101041821674,0.2249913869976096,0.0269553988451226,0.0030991390009354,0.0955730383501783,0.0909315577169912,0.2249913869976096
RF,I4_+양쪽압력,logit,0.0013477993462741,0.0957198784453933,0.0603834889189311,0.101624165262044,0.0297806987203187,0.0068094845229572,0.0679832176439421,0.101624165262044,0.0957198784453933
ExtraTrees,I4_+양쪽압력,logit,3.343332547955388e-07,0.0687419268389461,0.0493459360438074,0.0939649781632268,0.0226629510651928,0.0042587907605146,0.0571010333911567,0.0939649781632268,0.0687419268389461
GBR,I4_+양쪽압력,logit,0.0037694905330594,0.0783470837154426,0.0552504270774566,0.0990310193230215,0.0116554828197715,0.0252152738449294,0.062003275684118,0.0990310193230215,0.0783470837154426
HistGB,I4_+양쪽압력,logit,0.0022785744073716,0.0916800094507681,0.058096970778834,0.0927169358701385,0.0239943380764935,0.0074790950218023,0.0746144754749679,0.0927169358701385,0.0916800094507681
MLP-64x64,I4_+양쪽압력,logit,0.0052726812064719,0.0374163114688426,0.0470537397695794,0.1544931479801855,0.0125709785168307,0.0019794375054986,0.1544931479801855,0.0288088233765397,0.0374163114688426
MLP-16,I4_+양쪽압력,logit,0.0114438254772906,0.0397338781104379,0.0831461838524616,0.269249447799416,0.0251276170237552,0.0033574864645534,0.269249447799416,0.0782624898641456,0.0397338781104379
Linear1,I5_+DP,raw,0.0075414504081619,0.0345480580634784,0.027419385039742,0.0730477256212615,0.0109142619928762,0.0014792724357522,0.0730477256212615,0.0171076070853417,0.0345480580634784
Linear2,I5_+DP,raw,0.0052181329793537,0.212128748208426,0.0718479587237681,0.212128748208426,0.0090858807659446,0.0110923361347107,0.0987951170913473,0.0281377114184117,0.212128748208426
